Index,Models,vqa,nocaps,decimer,memotion,scienceqa,slake,visualgen,pathvqa,ucmerced,enrico,mmimdb,vqarad,flickr30k,faceemotion,newyorkercartoon,okvqa,magicbrush,memecaps,hatefulmemes,inat,nlvr,nlvr2,vcr,winoground,resisc45,GQA,plip,irfl,screen2words
0,minigpt4,-6.136970519,-2.715043284,-5.159355991,-4.983543767,-5.149698555,-5.774388342,-4.400353528,-5.801580276,-6.197046749,-7.334470817,-3.96169361,-5.541248237,-2.904216052,-6.223440583,-5.445374055,-5.070646834,0,-3.98789913,-5.816796709,-6.35647469,-4.512083509,-6.066917248,-4.767349627,-5.974401246,-6.758662356,-5.564317589,-5.762704859,-5.619735399,-6.166918718
1,fuyu,-4.490745006,-2.327845393,-5.298174452,-4.358125455,-4.284058886,-4.67098763,-3.582237501,-5.336193304,-6.321224767,-6.598587386,-5.147661872,-5.493030818,-2.631371693,-6.390092952,-5.82569053,-3.667689862,0,-4.245564436,-5.343143348,-6.088538871,-3.575214133,-3.812201224,-3.306169382,-7.601085645,-6.634536931,-4.215228214,-5.089537043,-5.639847878,-5.954792101
2,kosmos2,-5.916164253,-2.302728987,-5.170800093,-5.638429116,-5.276377562,-5.434374959,-5.272762573,-5.728860853,-6.169263658,-7.635735365,-5.07554902,-7.201462852,-2.606107104,-6.548099312,-6.037293625,-5.175305029,0,-3.745579576,-5.383435835,-6.139720206,-3.923814408,-6.218632728,-4.705287497,-3.986608104,-5.285729786,-5.594887938,-5.460347233,-4.658983685,-5.921233566
3,instruct_blip,-4.509046907,-2.254829862,-5.224566782,-4.665512061,-2.89558176,-4.001875666,-3.899807398,-5.263243934,-4.396693765,-7.675076867,-4.679549549,-5.344279965,-2.578680718,-5.999364383,-4.886176116,-3.601384728,0,-4.61620479,-4.576381942,-6.092167399,-3.536026249,-3.795364719,-3.130395015,-4.06241922,-6.852571888,-4.222857025,-4.330362083,-4.411119038,-6.133816272
4,blip2,-5.233217775,-2.471395027,-5.286837073,-4.682046281,-2.486776203,-4.626403314,-4.133780905,-5.90516815,-3.75883947,-6.709993324,-3.701929821,-5.03765134,-2.646742655,-6.010147972,-4.821202156,-3.907560044,0,-4.581763906,-4.661949665,-5.882167444,-3.230673811,-3.43102744,-3.057979044,-4.000830725,-6.641517129,-4.769808073,-4.854279278,-4.61691118,-6.027620342
5,openflamingo,-5.91191764,-3.230364262,-5.181903303,-6.059245754,-6.304817903,-5.562576091,-4.108117626,-5.865509386,-6.559558535,-7.702918291,-5.38213899,-5.908726125,-3.766051665,-7.017090615,-7.589251197,-5.996257022,0,-4.846231104,-6.353217878,-5.902630501,-5.567351681,-6.980760254,-6.296518905,-7.157054093,-6.667662787,-5.632115538,-5.620437704,-7.125921426,-6.907037631
6,llama_adapter,-5.948550712,-2.536385578,-4.738039111,-5.49618063,-4.993597754,-5.298790755,-4.42215523,-5.742458924,-6.745613483,-7.020946039,-4.447118351,-6.003467316,-3.461867051,-6.475505253,-6.396486083,-5.132800198,0,-4.03762991,-6.794045719,-5.881094842,-4.876237061,-6.941344224,-4.014815727,-5.653849686,-6.813287006,-5.638924198,-5.382685737,-5.198076753,-6.116272566
8,mplugowl,-5.959502909,-2.457586108,-4.939168292,-5.098673743,-4.704063617,-5.412260636,-5.58307039,-5.677895834,-6.243192807,-6.871762223,-4.491316275,-5.665752662,-2.71103106,-6.358462769,-6.179042922,-5.152939549,0,-3.82229008,-5.868951342,-5.833311265,-5.86849676,-5.915771861,-3.973525346,-5.472465105,-6.696563886,-5.671779408,-5.161002456,-4.974255561,-5.959191582
10,emu,-4.691896152,-2.66256789,-5.378611478,-6.134183889,-5.276377562,-5.609056783,-5.246310041,-5.635214805,-6.523777372,-7.544926738,-5.368643788,-6.647515816,-3.641764936,-7.497365104,-6.58622041,-4.716582049,0,-4.762507866,-6.750867103,-5.919443119,-6.401963315,-6.31217733,-6.392704384,-7.759803787,-6.714116344,-4.751002055,-4.938570964,-4.681319032,-7.264112358
